Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
FAM47E-STBD1	0	0	0	0	0	0
FAM47E	853	4515	4111	542	433	132
CXCL13	0	0	0	0	0	0
CCNI	9959	32565	15693	34841	17366	6067
FRAS1	634	1537	1073	2437	366	340
BMP2K	471	539	955	661	219	94
LINC01088	0	0	0	3	0	1
LINC00989	0	0	0	0	0	0
ANTXR2	0	1065	507	364	256	218
PRKG2	185	684	200	288	97	9
SEC31A	17076	55708	26250	15971	7960	2752
SCD5	3871	19520	5254	13291	2420	1306
ENOPH1	7276	18511	9539	6505	3447	1155
PLAC8	554	3738	1584	662	928	486
WDFY3	1852	7092	3754	1450	1198	391
ARHGAP24	743	7330	3721	1352	536	209
AFF1	1564	8948	3707	4367	1250	233
PTPN13	1971	5717	4030	1050	1276	336
PKD2	1789	7761	3717	2897	1264	495
FAM13A	996	3116	792	4330	266	97
HERC3	1787	3977	3616	2027	1422	577
HERC5	1166	4919	1526	761	1103	388
SNCA	2533	4383	4761	909	1438	477
MMRN1	1624	4923	2912	531	838	228
SMARCAD1	1906	6432	3776	1328	814	362
BMPR1B	313	641	579	364	14	38
STPG2-AS1	0	0	0	6	2	0
RAP1GDS1	5849	17013	12558	2565	1196	509
TSPAN5	145	1681	584	1198	280	78
ADH6	1	0	127	45	33	0
ADH5	3361	10004	8477	4017	1452	724
MTTP	0	41	48	30	11	0
ADH1C	5970	32765	8107	34697	822	1138
LOC100507053	15	270	144	7	49	1
EMCN	0	104	856	0	13	109
PPP3CA	19602	22144	20812	3029	2161	547
MANBA	2571	6809	3740	2247	965	457
CENPE	0	1006	21	39	267	10
TACR3	0	0	0	0	1	0
NPNT	20305	23505	10086	3141	4149	1811
PPA2	8815	24273	13572	9914	4187	2043
ARHGEF38	490	2105	260	723	75	101
GSTCD	1047	1143	912	467	423	66
TET2	2223	10272	4821	1882	1504	404
TBCK	1267	2924	2349	1505	898	240
DKK2	0	0	0	0	0	0
HADH	16827	72047	24886	20297	10316	4118
SGMS2	1588	4063	2624	1156	688	272
OSTC	8841	22058	16555	7078	2541	1335
EGF	253	616	193	1517	18	1
ELOVL6	895	1903	1259	708	591	205
SEC24B	2570	10700	4983	4941	1232	584
CCDC109B	1059	8540	4092	1060	980	446
RRH	0	0	1	9	3	0
ENPEP	0	194	1271	9	33	68
PITX2	0	0	0	15	0	0
ZGRF1	312	1361	2581	222	155	74
CAMK2D	8480	14611	12166	7336	3008	931
NDST4	0	0	0	0	5	0
NDST3	2	48	91	1	11	3
PDE5A	1366	3873	3676	1474	766	270
SYNPO2	134	1119	1105	159	66	60
MYOZ2	0	0	0	11	0	0
USP53	534	4090	1066	1712	367	253
SEC24D	3292	16234	9732	4504	3313	1430
QRFPR	0	12	0	0	0	0
KIAA1109	2459	12650	6292	4343	1249	333
TRPC3	0	0	0	5	0	0
ADAD1	0	0	0	0	0	0
IL21-AS1	0	0	0	0	0	0
SPATA5	233	1409	434	320	106	41
LOC101927087	0	2	13	0	0	0
FAT4	119	335	603	411	118	18
HSPA4L	3403	5834	2674	911	693	167
INTU	0	1559	648	438	344	97
MFSD8	1944	4489	2362	1006	594	362
JADE1	5257	13910	3003	3307	2136	774
LARP1B	1220	4873	2692	2386	1191	441
SCLT1	375	1604	1076	571	452	174
LOC101927282	0	0	0	0	0	0
PCDH10	190	633	658	406	12	34
LINC00499	0	0	0	0	0	0
SLC7A11-AS1	0	43	26	7	4	1
ELF2	615	2587	1322	1486	848	286
NAA15	4128	8814	6973	2255	1171	424
RAB33B	5255	4466	3459	1353	375	177
SCOC	14577	39350	26123	8062	4066	1268
MGST2	4216	15367	7114	6183	2831	1418
MAML3	717	4636	411	2047	545	198
RNF150	105	2401	621	591	1130	335
GAB1	316	2585	1216	1173	520	168
FREM3	0	0	142	1	1	0
SMARCA5	8754	19878	12300	5236	2834	925
HHIP	0	45	0	168	1	0
ANAPC10	1013	3834	2400	754	491	193
SMAD1	1300	5111	1337	4400	1134	1084
SLC10A7	896	1268	1103	481	320	56
NR3C2	510	1602	1074	890	384	101
LRBA	2304	11678	6282	3591	1650	681
DCLK2	68	1157	381	336	328	144
FAM160A1	286	331	85	962	1	14
ARFIP1	2546	11338	5651	3032	1674	439
FBXW7	3252	8264	4852	1325	1558	499
FHDC1	561	1279	523	733	212	103
MND1	5	253	4	106	50	12
KIAA0922	1356	2794	1246	1557	344	108
RNF175	0	16	0	8	1	2
RBM46	0	9	0	2	0	12
GUCY1A3	3142	11969	6904	3051	2799	710
ASIC5	0	0	0	0	0	0
GLRB	2233	9866	6046	2391	691	173
PDGFC	287	789	724	707	44	107
GRIA2	1585	6392	4037	836	1167	182
RXFP1	0	0	107	14	0	0
C4orf45	28	12	9	0	0	0
FNIP2	4292	5626	4781	1913	1640	484
MIR5684	0	0	0	0	0	0
CPE	97413	298135	216827	74291	112436	26881
KLHL2	656	2841	1485	1481	828	167
GK3P	10	38	6	8	5	1
APELA	1	2	0	0	0	0
TLL1	0	0	45	171	0	2
PALLD	10001	27381	12682	5241	9605	3116
ANXA10	481	1371	1258	4768	73	24
DDX60	393	1509	589	748	118	133
DDX60L	403	1975	1269	302	410	126
NEK1	1759	6617	3084	1229	1932	361
SH3RF1	3172	10788	2836	6434	3209	627
C4orf27	2214	5814	4325	1093	936	325
GALNT7	1324	4564	2008	2747	623	147
HAND2-AS1	0	0	23	9	6	0
ADAM29	0	9	0	0	3	0
CEP44	1516	2905	1361	524	444	188
GLRA3	82	745	41	78	33	8
WDR17	742	1717	2091	278	443	72
GPM6A	2997	7218	3338	1725	594	51
LINC01098	0	40	0	2	2	1
LINC01099	54	3431	1611	444	244	33
LINC00290	0	75	0	0	0	0
WWC2	409	1775	331	1467	331	103
LOC389247	14	361	63	88	64	37
ENPP6	1	356	0	17	10	0
IRF2	2960	5823	2161	2256	1139	568
CCDC110	382	880	197	493	290	49
ACSL1	5871	13945	13837	5405	1164	703
SNX25	638	1486	1582	689	320	62
KIAA1430	2224	8779	4064	2808	1311	412
FAT1	2148	4971	2050	6310	432	500
KLKB1	580	4688	1327	483	534	178
F11-AS1	1	22	4	21	3	0
LOC339975	0	0	0	12	0	0
LOC100506272	0	0	0	0	0	0
LINC01060	369	1023	64	19	0	16
ZNF595	1017	1328	656	366	148	45
ZNF876P	192	2449	739	293	104	45
ZNF732	12	381	1	17	6	4
ZNF141	280	855	679	328	184	43
ZNF721	2134	4730	1590	663	505	135
ABCA11P	587	3010	889	643	601	156
ATP5I	34376	88430	22403	31688	18036	9603
LOC100129917	91	224	21	297	302	64
MFSD7	11	42	5	1071	160	165
PCGF3	3196	10234	3973	2486	2852	1329
MYL5	174	679	223	332	227	90
SLC26A1	2	157	33	220	100	78
DGKQ	732	2652	431	779	520	173
FGFRL1	189	203	58	1679	159	360
TMEM175	5172	14605	683	6059	4599	2742
IDUA	563	3272	486	3435	2067	1078
TMED11P	6	35	17	90	2	0
RNF212	79	1188	202	485	310	169
CTBP1	11829	22250	7920	8932	5114	2138
CTBP1-AS2	158	2080	435	1478	434	247
LOC100130872	2	198	52	57	70	54
CTBP1-AS	17	96	37	127	46	39
CRIPAK	619	1430	1450	834	511	338
UVSSA	716	1412	952	531	551	126
NKX1-1	0	0	0	0	0	0
FAM53A	0	458	6	132	27	22
FGFR3	2	344	82	908	151	230
TACC3	424	2068	218	508	292	75
TMEM129	909	5586	374	7935	3560	2502
C4orf48	6746	65654	4285	26757	32837	14045
NAT8L	308	1288	145	839	545	177
SCARNA22	99	2820	187	2412	1400	877
NELFA	2248	3482	472	3844	1209	567
MIR943	0	0	0	5	1	0
MXD4	523	7308	639	7706	3665	2061
HAUS3	1261	2652	682	666	198	67
MIR4800	0	0	0	0	0	0
LOC402160	0	0	0	35	48	12
FAM193A	847	4421	1343	1316	1049	242
SH3BP2	580	1904	488	2256	737	548
MFSD10	3986	17031	1186	14175	6638	3726
NOP14-AS1	829	1239	240	703	523	154
NOP14	628	3487	342	2908	862	551
HTT-AS	0	0	0	0	4	0
MSANTD1	0	871	10	228	881	108
HGFAC	35	0	0	15	16	0
DOK7	0	412	0	455	52	101
LRPAP1	61029	149778	41930	34551	32019	13144
LINC00955	0	0	0	0	0	0
LOC100133461	0	0	0	0	0	0
ADRA2C	140	0	0	50	14	39
FAM86EP	43	462	117	206	128	39
LYAR	888	2584	1461	477	388	222
TMEM128	5484	15347	10096	2063	1760	776
ZBTB49	566	1049	1031	356	139	51
NSG1	853	8075	1635	1247	899	155
MSX1	24	40	147	100	27	112
CYTL1	0	0	0	0	0	0
C4orf6	0	70	9	33	9	3
CRMP1	3881	19327	6658	3974	4857	1899
MIR378D1	0	0	0	0	0	0
LOC285484	5	1318	74	338	167	56
LOC93622	81	1149	1586	1382	862	523
MRFAP1	14505	72742	35917	35998	17684	9973
MAN2B2	1591	11098	2276	4693	4144	766
S100P	0	0	0	49	1	0
MRFAP1L1	4551	19749	15429	6938	3145	1487
BLOC1S4	394	1730	774	2796	1098	632
LOC100129931	0	26	18	7	2	2
GRPEL1	4693	16873	5758	5713	1768	1070
CCDC96	77	113	239	171	184	47
TADA2B	1019	976	625	1125	395	164
FLJ36777	119	444	184	54	207	31
MIR4798	0	0	0	0	0	0
MIR4274	0	0	0	0	0	0
PSAPL1	0	0	0	1	6	0
AFAP1-AS1	0	3	0	18	0	1
SH3TC1	1901	6287	585	1887	1310	438
HTRA3	27	403	263	10	668	902
TRMT44	149	726	320	425	229	142
GPR78	2	3	0	2	0	21
CPZ	0	0	0	20	119	3
HMX1	0	0	0	1	0	0
LOC650293	0	0	0	0	0	0
USP17L11+USP17L18+USP17L20	0	0	0	0	0	0
USP17L11+USP17L18	0	0	0	0	0	0
USP17L11+USP17L20+USP17L22	0	0	0	0	0	0
USP17L12+USP17L21	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0
USP17L20+USP17L22	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0
USP17L24+USP17L25+USP17L26+USP17L27+USP17L28+USP17L29+USP17L30+USP17L5	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0
MIR548I2	0	0	0	1	0	0
DEFB131	0	0	0	0	0	0
DRD5	0	0	0	0	12	0
MIR3138	0	0	0	0	0	0
ZNF518B	1297	3668	1514	630	261	159
MIR572	0	0	0	0	0	0
RAB28	2276	3599	1967	675	715	304
NKX3-2	0	0	0	1	0	0
LINC01096	0	0	1	0	7	0
MIR5091	0	28	8	4	10	0
LINC01097	0	0	0	0	0	0
BOD1L1	2528	7985	3553	2372	975	533
LINC01085	0	0	0	0	0	0
CPEB2	499	1456	1025	824	270	51
C1QTNF7	0	151	7	5	30	0
FAM200B	5728	14016	7692	2439	2326	695
FBXL5	8655	19620	13533	3856	2383	659
CD38	0	499	0	0	1	0
FGFBP1	0	0	217	673	139	157
FGFBP2	0	7	0	0	0	0
TAPT1	2149	4742	1854	2155	1288	494
MIR548AX	0	0	0	0	0	0
QDPR	24439	120842	43247	10447	16499	6257
CLRN2	0	0	0	0	0	0
LAP3	2655	8297	4475	3273	955	634
MED28	4855	9413	5863	2149	1646	848
DCAF16	1729	3104	874	1338	891	300
SLIT2-IT1	0	23	0	0	0	0
MIR218-1	0	0	0	0	0	0
KCNIP4-IT1	0	0	0	0	0	0
LOC100505912	0	5	0	7	2	0
DHX15	5875	13311	12970	8376	2208	1419
MIR573	19	6	0	2	0	2
SOD3	196	150	61	9542	1396	1934
LGI2	245	1271	2792	325	279	37
SEPSECS	620	3490	2145	1526	366	177
PI4K2B	72	1277	1465	1055	396	145
ANAPC4	541	3810	3445	1099	680	298
ZCCHC4	1009	1541	1197	525	287	179
SLC34A2	2	1540	0	1448	250	364
SMIM20	3118	8281	4372	3573	1740	988
CCKAR	0	0	0	0	4	9
MIR4275	0	0	0	0	0	0
LOC439933	0	2	0	4	1	3
MIR4801	0	0	0	0	0	0
PGM2	890	2453	1855	803	293	317
PTTG2	64	56	71	31	28	3
LINC01258	0	0	1	0	0	0
TLR10	0	1	0	0	0	0
TLR6	0	6	0	18	15	10
TLR1	0	576	116	370	33	53
MIR574	0	0	0	4	0	0
TMEM156	0	0	25	16	14	46
LIAS	1627	3219	1042	826	487	158
RPL9	678	1647	498	2402	607	252
UGDH	22079	39502	9923	16069	2789	1406
LOC401127	40	140	12	135	57	42
LOC344967	81	240	72	102	72	47
CHRNA9	0	0	0	0	0	0
LOC101060498	38	0	0	21	0	3
MIR4802	0	0	0	0	0	0
UCHL1	16317	58040	25986	15090	13528	5831
UCHL1-AS1	0	87	4	11	1	2
PHOX2B	0	4	0	1	1	0
LINC00682	0	0	0	0	0	0
DCAF4L1	226	370	120	88	5	18
BEND4	0	0	0	3	4	0
SHISA3	0	0	0	3	0	0
YIPF7	50	153	8	0	11	0
GNPDA2	2379	6305	3104	997	637	185
GABRG1	0	0	0	0	0	0
COMMD8	5618	9672	6629	2310	1124	509
MIR8053	0	0	0	0	0	0
NFXL1	387	6950	971	2677	447	155
NIPAL1	56	536	188	663	42	33
ZAR1	0	0	0	4	0	0
SLC10A4	0	0	0	1	3	15
OCIAD1	11253	34744	23108	13250	7546	2685
DCUN1D4	6228	10853	8586	1693	1298	448
SGCB	7975	25149	13736	4435	2474	1121
LRRC66	0	0	54	3	33	16
SNORA26	0	82	29	23	3	3
MIR4449	0	0	0	12	1	2
DANCR	1645	9591	2159	7883	2207	1106
LOC152578	0	0	0	0	2	0
ERVMER34-1	46	76	0	154	1	6
RASL11B	0	5	36	9	11	39
LNX1-AS1	19	90	0	3	9	4
LNX1-AS2	0	254	6	32	39	32
RPL21P44	10	313	81	28	5	31
GSX2	0	0	0	0	1	0
PDGFRA	24	114	1	16	126	13
SRD5A3-AS1	0	1	45	4	31	1
TMEM165	2293	16456	5730	8399	2468	1118
PDCL2	0	0	0	0	0	0
LOC644145	0	0	0	0	0	0
AASDH	1228	5175	3063	888	795	205
PAICS	1509	5876	3153	3734	1203	621
SRP72	2810	10227	6891	5693	2211	835
ARL9	0	232	0	19	29	9
REST	602	2800	3122	3486	566	578
SPINK2	210	506	22	53	90	37
NOA1	1244	6507	1513	2855	1328	521
POLR2B	5911	22563	17205	10438	3108	1099
LPHN3-AS1	0	0	0	0	0	0
EPHA5-AS1	28	31	2	14	0	16
LOC101927237	11	34	33	50	2	0
CENPC	1288	5006	2295	1475	1040	305
STAP1	0	18	0	3	0	0
GNRHR	67	48	407	73	37	10
UBA6-AS1	762	2807	528	625	316	359
TMPRSS11D	0	7	23	11	4	0
SYT14L	13	37	7	13	13	5
TMPRSS11GP	0	0	0	0	0	0
LOC550113	0	0	1	0	0	0
TMPRSS11B	5	5	1	2	1	0
UGT2B17	4	414	272	207	11	13
UGT2B15	223	9169	7386	7787	739	503
UGT2B10	0	0	0	0	0	0
UGT2A3	147	5622	3608	3235	330	249
UGT2B7	0	924	230	640	1	26
UGT2B11	0	21	14	0	3	0
UGT2B28	0	0	0	12	0	0
UGT2B4	0	34	2240	96	0	0
UGT2A2	0	0	0	0	0	0
SULT1B1	0	113	0	502	9	2
SULT1E1	0	42	137	52	0	9
HTN3	0	0	0	0	0	0
CSN2	0	97	0	0	1	0
CSN1S1	0	0	0	0	0	0
STATH	0	0	0	0	0	0
HTN1	0	2	0	0	0	0
PRR27	1	0	0	0	20	0
CSN1S2AP	0	0	1	0	0	0
CSN1S2BP	0	0	0	0	0	0
FDCSP	0	2	0	0	0	0
CSN3	0	66	0	0	5	0
ODAM	0	176	77	342	0	12
SMR3A	0	0	0	0	0	0
CABS1	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0
PROL1	0	41	0	0	8	8
AMTN	0	0	0	0	0	0
UTP3	1071	3207	1599	943	494	344
AMBN	0	187	1	21	37	11
ENAM	953	2322	1375	323	603	89
IGJ	40	86	17	15	9	2
RUFY3	20103	33448	29886	3900	3858	1243
DCK	4009	10795	5719	2927	1243	328
ALB	16416	24095	667	70787	284	19
AFM	217	37	47	65	1	0
LOC728040	0	0	0	0	0	0
CXCL6	428	38328	1210	1978	1558	191
CXCL8	5764	27169	166	372	327	216
CXCL1	2644	19708	18	2310	1738	1587
PF4V1	0	52	9	2	6	11
PF4	33	36	10	260	0	35
PPBP	0	0	0	0	0	0
CXCL2	5624	20767	427	7711	927	427
CXCL3	380	6260	0	3457	179	131
PPBPP2	0	0	0	0	0	0
CXCL5	200	1136	4	43	0	4
EPGN	1	0	0	0	0	0
AREG	0	12.5	2.5	16.5	0	1.5
BTC	819	832	373	292	273	144
THAP6	950	4984	2215	814	664	148
C4orf26	0	36	0	0	7	1
G3BP2	19681	26021	10580	7565	2369	1355
NAAA	1435	12031	4248	2179	2232	590
SDAD1	3639	8936	6004	3116	1500	615
CXCL9	0	0	0	0	0	0
CXCL11	0	0	13	114	0	0
NUP54	920	3040	3845	2010	1031	349
CXCL10	0	68	0	0	4	0
SCARB2	20050	60189	25746	16200	8481	3898
CCDC158	183	1544	192	160	328	75
STBD1	670	3547	240	1891	1281	377
MIR4450	0	0	0	0	0	0
SOWAHB	1	26	111	168	68	8
SEPT11	4324	9978	7856	7201	3403	696
CCNG2	798	2336	1923	1408	623	159
MRPL1	3065	7851	4782	1957	1196	485
ANXA3	1862	13845	6320	7717	1241	822
LINC01094	3	23	8	4	2	1
PAQR3	285	242	263	642	102	177
NAA11	4	15	4	20	5	7
GK2	0	0	0	0	0	0
PCAT4	0	0	0	0	0	0
PRDM8	0	7	0	22	13	0
FGF5	1	2	101	7	14	1
BMP3	0	71	1	41	3	0
RASGEF1B	1277	757	938	648	926	211
HNRNPD	2875	12313	10724	5724	3156	1580
HNRNPDL	9060	43430	23746	17841	6575	3729
TMEM150C	297	2751	590	950	393	119
LINC00575	0	0	0	2	0	0
MIR575	0	20	0	1	0	0
THAP9	577	746	732	221	75	27
THAP9-AS1	1880	4121	1815	1591	286	140
COPS4	7901	17292	12287	3321	2578	855
COQ2	1471	2856	1037	1528	951	212
HPSE	63	679	707	450	169	69
FAM175A	229	1169	348	336	152	87
HELQ	987	4301	2867	813	499	268
MRPS18C	3127	6397	3775	2143	1130	674
AGPAT9	1493	1506	2014	171	212	116
NKX6-1	273	1502	27	1514	1098	337
CDS1	1497	4186	2277	2967	871	291
WDFY3-AS2	251	797	209	256	298	97
MIR4451	0	8	0	0	0	0
LOC101929064	0	71	35	3	12	8
C4orf36	18	13	6	45	27	16
SLC10A6	0	0	0	0	0	15
LOC100506746	223	702	247	178	120	22
KLHL8	2024	2330	1690	1198	531	156
HSD17B13	0	1	34	89	2	0
MIR5705	0	0	0	0	0	0
HSD17B11	1606	11190	4693	3583	987	456
SPARCL1	0	19	1060	82	105	63
NUDT9	11074	18855	9089	6440	1873	915
DMP1	0	0	0	1	0	0
DSPP	0	0	0	6	0	0
IBSP	0	0	0	0	0	0
MEPE	0	103	0	0	0	0
SPP1	6039	774427	187290	58882	33556	46853
PPM1K	8450	12599	6404	1863	2483	462
HERC6	2078	5088	1797	955	1193	417
PIGY+PYURF	13829	44556	34940	10611	5872	2483
NAP1L5	1729	4085	1025	1325	1406	373
FAM13A-AS1	154	227	223	85	37	21
TIGD2	265	1517	699	262	226	74
SNCA-AS1	0	0	0	2	3	0
ATOH1	0	0	0	0	0	0
HPGDS	0	1944	0	0	0	0
LOC100507012	16	1	0	5	6	13
PDHA2	24	53	47	20	7	4
EIF4E	2854	6626	5634	1080	620	206
METAP1	2245	6138	3822	2903	845	378
MIR3684	0	0	0	0	0	0
ADH4	2	0	0	3	1	0
PCNAP1	0	2	3	4	0	0
ADH1B	8	695	139	483	45	12
ADH1A	4	13	34	19	2	0
ADH7	0	0	0	4	0	0
TRMT10A	844	814	866	525	353	84
C4orf17	0	0	0	5	0	0
DAPP1	157	437	0	146	30	4
DNAJB14	2382	7717	4631	1733	931	336
LAMTOR3	7118	21956	21679	6808	2963	1246
LOC256880	3	179	0	15	68	7
H2AFZ	23475	71541	52549	19344	10032	4039
DDIT4L	0	0	0	19	1	0
LINC01216	0	0	0	0	0	0
MIR8066	0	1	0	1	2	0
FLJ20021	116	529	49	361	257	72
SLC39A8	1072	2882	1113	2924	335	93
NFKB1	573	4227	2110	1363	990	263
UBE2D3	18595	63199	41477	14242	8874	3857
BDH2	301	3634	1879	3017	502	336
SLC9B2	1974	5766	2599	1515	868	465
CXXC4	3096	8521	5038	1186	1945	389
ARHGEF38-IT1	0	0	0	6	0	1
INTS12	3469	6843	3289	1590	834	295
AIMP1	5364	14133	7707	3771	2054	894
GIMD1	0	0	0	0	0	0
PAPSS1	4796	19618	11761	4432	2449	1061
CYP2U1	698	3196	1047	1487	1100	158
LEF1-AS1	0	0	44	2	1	2
RPL34-AS1	11	396	2	17	28	1
RPL34	8850	41845	7428	21155	7510	4577
ETNPPL	0	0	0	6	0	0
SEC24B-AS1	43	240	52	72	60	29
CASP6	2111	6049	4127	3757	694	432
GAR1	854	2190	551	1810	292	206
PLA2G12A	4067	9966	3392	4376	2283	904
CFI	2059	28022	14741	6148	2111	1007
LRIT3	0	0	145	26	0	0
C4orf32	352	95	816	576	263	223
AP1AR	3183	7684	6944	878	374	279
TIFA	765	3502	1819	1887	231	130
NEUROG2	0	0	0	0	0	0
MIR302A	0	8	3	0	0	0
LARP7	3238	11066	9175	3814	1531	724
MIR367	0	21	0	0	0	0
MIR302D	0	15	6	0	0	0
MIR302C	0	10	0	0	0	0
MIR302B	0	8	0	0	0	0
MIR1243	0	0	0	0	0	0
MIR8082	0	0	0	0	0	0
ARSJ	60	2380	919	978	392	76
UGT8	2387	5486	1547	1405	487	277
MIR577	0	0	0	0	0	0
MIR1973	12	35	95	17	30	3
TRAM1L1	831	3212	1031	361	247	109
PRSS12	328	837	597	773	174	52
SNORA24	67	60	53	127	18	5
SNHG8	11237	19094	5399	8555	6648	1997
CEP170P1	0	0	9	0	0	0
METTL14	2920	10530	6367	3246	1392	386
FABP2	0	0	0	0	46	0
C4orf3	16597	46777	28354	10621	6121	2751
LOC645513	802	1084	935	495	450	204
LINC01061	164	85	32	116	26	16
LINC01365	0	0	0	0	0	0
LOC100996694	0	0	0	0	0	0
MAD2L1	475	1320	933	214	160	59
NDNF	222	495	485	138	29	91
TNIP3	2	0	0	2	0	0
ANXA5	28856	99177	75474	26952	11784	8486
PP12613	0	5	0	10	0	0
CCNA2	262	346	83	95	281	18
EXOSC9	1390	5570	4022	1350	862	408
BBS7	1501	3457	3413	611	413	206
IL2	0	0	0	0	0	0
IL21	0	0	0	0	0	0
CETN4P	58	311	13	50	31	6
BBS12	162	4613	1630	549	217	54
FGF2	56	160	13	52	23	18
NUDT6	508	419	164	211	129	72
SPRY1	183	2114	307	841	283	114
ANKRD50	504	1030	2155	1299	217	161
MIR2054	0	0	0	0	0	0
SLC25A31	0	0	0	1	1	0
PLK4	341	59	0	148	21	13
C4orf29	1153	4074	1815	1536	449	205
PGRMC2	2706	8920	9482	3404	2208	814
PABPC4L	0	0	1	38	2	0
LINC00613	0	0	0	0	0	0
PCDH18	0	378	1961	74	194	37
LINC00616	132	554	277	10	41	13
SLC7A11	119	1908	745	998	207	243
CCRN4L	1024	1324	517	262	256	142
MGARP	17	406	289	38	23	21
NDUFC1	19258	44563	19577	14026	10198	4443
SETD7	1283	4397	1931	2361	659	322
SCOC-AS1	1169	1006	182	68	138	41
LOC152586	0	0	0	0	0	0
CLGN	8479	9716	7119	1935	1015	315
ELMOD2	1630	4769	2829	1716	739	316
UCP1	0	0	0	0	0	0
TNRC18P1	0	38	0	8	12	0
ZNF330	3128	11204	7453	4053	1527	911
LOC100507639	214	141	128	564	8	30
USP38	1976	5660	2025	1767	1009	322
SMARCA5-AS1	0	0	0	8	0	1
GUSBP5	39	177	12	156	61	55
GYPE	5	1	332	7	16	15
GYPB	0	2	3	0	0	0
GYPA	3	0	0	0	0	0
HHIP-AS1	0	21	0	115	16	7
OTUD4	537	2596	1399	914	420	254
ABCE1	3369	7520	4120	1909	705	327
SMAD1-AS2	0	36	33	12	8	4
C4orf51	0	1	0	4	0	0
MMAA	1644	3123	1601	1329	477	150
LINC01095	0	0	0	0	0	0
LSM6	2243	6521	3868	1012	1066	462
MIR7849	0	0	0	0	0	0
POU4F2	0	0	0	0	0	0
EDNRA	0	0	1394	41	273	210
PRMT9	1660	4477	2153	647	645	211
TMEM184C	2717	6586	5828	2590	774	402
MIR4799	0	0	0	0	0	0
MAB21L2	0	162	8	12	19	7
SNORD73A	0	0	0	0	0	0
RPS3A	406	1382	649	844	286	129
PRSS48	10	9	28	33	16	1
PET112	3525	5350	2251	1939	756	292
LOC100996286	0	0	0	0	0	1
DEAR	6	11	0	5	3	0
DKFZP434I0714	1474	4091	1298	306	431	120
MIR3140	0	4	0	2	0	0
MIR4453	0	0	0	0	0	0
TMEM154	385	322	79	76	77	20
TIGD4	172	388	57	57	67	17
ANXA2P1	579	2905	2306	652	231	137
TLR2	0	399	677	874	92	43
SFRP2	4105	6688	7854	1005	5242	5145
PLRG1	3923	9308	11483	3595	1267	693
FGB	392	1157	578	53	0	15
FGA	0	3153	0	0	155	1
FGG	678	9970	190	92	0	1
LRAT	421	348	677	214	169	63
NPY2R	0	0	0	0	0	0
MAP9	4338	9214	6725	2664	1814	526
GUCY1B3	5433	11476	6281	4144	2025	676
CTSO	2856	5830	3895	1934	839	323
TDO2	0	0	499	3	28	80
LOC340017	0	44	0	27	0	0
FAM198B	250	393	2483	257	140	289
TMEM144	3610	4363	2870	1866	128	128
PPID	3600	9858	6143	2076	1692	488
ETFDH	8873	18528	16745	3724	3695	1244
C4orf46	1569	2996	1246	489	271	185
MIR3688-2	0	0	0	0	0	0
MIR3688-1	0	0	0	0	0	0
RAPGEF2	963	2024	1804	950	404	134
NAF1	227	566	210	222	103	50
NPY5R	0	0	23	14	0	2
NPY1R	0	347	722	461	24	56
TMA16	1250	4020	1931	1194	617	343
TKTL2	0	0	0	0	0	0
ANP32C	110	23	7	38	18	11
LINC01207	133	684	40	822	7	6
FAM218A	665	1453	1081	143	188	23
TRIM61	42	538	88	30	63	24
TRIM60	0	0	0	0	0	1
TMEM192	2542	9871	3690	2508	822	253
MIR578	0	8	25	0	4	0
MSMO1	19007	32367	22360	14850	4236	1549
LINC01179	0	0	0	0	0	0
LOC101928131	0	0	0	0	0	0
CBR4	3055	10490	6622	2610	1470	607
CLCN3	6823	14119	8591	7802	2682	881
LOC100506085	0	1	0	0	1	0
AADAT	583	994	552	366	120	43
MIR6082	0	0	0	0	0	0
HMGB2	1913	10194	4501	982	2117	722
SAP30	10	365	338	632	667	248
SCRG1	8	77	207	3	15	65
HAND2	0	80	9	28	21	33
FBXO8	2957	8849	5192	1517	900	461
MIR4276	0	0	0	0	0	0
HPGD	270	1236	1937	335	61	20
SPATA4	187	80	54	27	0	5
ASB5	0	4	0	0	0	0
SPCS3	11158	13185	4527	5954	2113	1120
VEGFC	2	179	507	58	173	67
AGA	2827	13437	4557	3005	1188	784
MGC45800	1	0	0	0	1	4
MIR1305	0	0	0	0	0	0
DCTD	4582	16137	9286	7231	4129	1800
FAM92A1P2	4	13	4	10	4	3
WWC2-AS2	0	0	0	79	1	16
CLDN22	0	0	0	0	0	0
CLDN24	0	0	0	0	0	0
CDKN2AIP	1867	2544	2529	1541	891	460
ING2	585	4659	3437	1828	993	306
RWDD4	344	1951	946	638	317	88
TRAPPC11	1879	5373	2719	2098	622	254
STOX2	218	1270	270	513	393	78
LOC728175	0	61	0	37	14	3
CASP3	2651	7065	5846	1595	430	395
CENPU	381	587	463	292	133	51
SLED1	0	0	0	0	0	0
MIR3945	0	0	0	0	0	0
LINC01093	0	32	0	4	0	0
LOC731424	0	24	2	0	1	1
